NGP_AECO (Natural Gas),,,,,,EQTY_S&P500 INDX_USD (Stock Index),EQTY_TSE/SP60SPV_NDX_CAD (Stock Index),FX_USD_CAD (Foreign Exchange Rate),IR_CAD_GOVT (Treasury Rate),,,,,,IR_CAD_SWAP (Inter Bank Lending Rate),,,,,,IR_USD_GOVT (Treasury Rate),,,,,,IR_USD_SWAP (Inter Bank Lending Rate),,,,,,NGP_NYMX (Natural Gas),,,,,,OIL_WTI (Oil),,,,,,,,,,
VALUE (30 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE,VALUE,VALUE,VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (30 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (30 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),Average VIX,Basis ,IA VOLUME,IA Volume Difference,Indicator 
1.965759091,2.046559091,2.924713636,3.330168182,4.041540909,4.041540909,1340.253043,660.8463783,0.989934321,9.83E-03,1.15E-02,1.21E-02,1.47E-02,1.95E-02,0.02517397,1.31E-02,1.35E-02,1.45E-02,1.74E-02,2.32E-02,2.64E-02,8.71E-04,1.86E-03,2.78E-03,7.65E-03,1.85E-02,3.27E-02,4.42E-03,5.34E-03,6.09E-03,1.09E-02,1.97E-02,2.75E-02,2.426190909,2.563863636,3.415090909,3.778636364,4.3555,4.3555,95.185,95.23545455,95.85636364,92.43318182,92.43318182,92.43318182,19.2275,11.89130435,"$218,801,354","-$159,517,477",0
1.868980952,1.993428571,2.879519048,3.313214286,4.092347619,4.092347619,1323.484286,656.3994,0.972924881,8.76E-03,9.69E-03,1.00E-02,1.28E-02,1.84E-02,2.40E-02,1.30E-02,1.20E-02,1.24E-02,1.53E-02,2.19E-02,2.56E-02,8.41E-04,1.91E-03,2.88E-03,7.17E-03,1.66E-02,3.01E-02,4.43E-03,5.13E-03,5.67E-03,9.93E-03,0.018060757,0.025446354,2.464442857,2.538285714,3.348857143,3.699666667,4.257857143,4.257857143,83.36136364,83.00954545,85.40954545,85.07909091,85.07909091,85.07909091,35.02913043,8.702380952,"$59,283,877","-$9,927,773",0
2.2498,2.352747619,3.004461905,3.43577619,4.110742857,4.110742857,1360.423636,664.2718227,0.986402846,8.85E-03,9.66E-03,9.92E-03,1.26E-02,1.78E-02,0.023486022,1.29E-02,1.21E-02,1.24E-02,1.52E-02,2.11E-02,2.54E-02,9.17E-04,1.77E-03,2.49E-03,6.29E-03,1.56E-02,2.90E-02,4.33E-03,4.24E-03,4.79E-03,8.52E-03,1.67E-02,2.47E-02,2.950542857,2.957428571,3.568857143,3.903571429,4.413238095,4.413238095,88.74619048,88.5,90.54428571,88.71095238,88.71095238,88.71095238,36.53,7.411363636,"$49,356,104","$142,773,827",1
2.0761,2.217834783,2.868530435,3.314613043,4.038082609,4.038082609,1403.440435,680.0941209,1.00721169,9.91E-03,1.11E-02,1.15E-02,1.41E-02,1.87E-02,2.45E-02,1.29E-02,1.33E-02,1.41E-02,1.71E-02,2.27E-02,2.60E-02,9.63E-04,1.81E-03,2.69E-03,7.17E-03,1.72E-02,3.07E-02,4.12E-03,3.93E-03,4.59E-03,9.08E-03,1.83E-02,2.67E-02,2.811556522,2.83373913,3.521565217,3.865130435,4.476173913,4.476173913,94.50478261,94.63347826,95.5373913,91.91434783,91.91434783,91.91434783,32.82904762,7.641304348,"$192,129,931","-$123,482,844",0
2.235752632,2.599694737,2.945831579,3.341652632,3.981394737,3.981394737,1441.5775,701.822245,1.021622635,9.89E-03,1.12E-02,1.15E-02,1.38E-02,1.89E-02,0.024886612,1.29E-02,1.34E-02,1.41E-02,0.016887661,2.27E-02,2.62E-02,1.02E-03,1.72E-03,2.52E-03,6.66E-03,1.75E-02,0.031882282,3.73E-03,3.56E-03,3.96E-03,8.12E-03,1.81E-02,2.79E-02,2.845715789,3.057210526,3.611947368,3.951789474,4.516263158,4.516263158,94.61157895,95.11842105,95.58631579,92.08052632,92.08052632,92.08052632,31.94190476,9.04375,"$68,647,087","$204,032,745",1
2.982486957,3.293052174,3.350052174,3.597569565,4.21823913,4.21823913,1435.566522,705.5416087,1.013081215,9.64E-03,1.07E-02,1.10E-02,1.37E-02,1.88E-02,2.48E-02,0.012893899,1.28E-02,1.35E-02,1.66E-02,2.26E-02,2.61E-02,1.03E-03,1.89E-03,2.77E-03,7.09E-03,1.78E-02,3.23E-02,3.20E-03,3.21E-03,3.87E-03,8.25E-03,0.018122398,2.82E-02,3.324365217,3.777347826,3.963217391,4.190217391,4.747434783,4.747434783,90.36695652,90.30521739,92.01391304,89.82130435,89.82130435,89.82130435,25.04761905,7.392272727,"$272,679,832","-$148,725,788",0
3.20907619,3.282666667,3.381804762,3.631533333,4.217938095,4.217938095,1394.354091,696.5744136,1.003061875,9.64E-03,1.05E-02,1.08E-02,1.34E-02,1.81E-02,2.40E-02,1.29E-02,1.26E-02,1.33E-02,1.64E-02,2.20E-02,2.56E-02,9.02E-04,1.82E-03,2.68E-03,6.70E-03,1.69E-02,3.11E-02,3.01E-03,3.22E-03,3.81E-03,7.84E-03,1.72E-02,2.69E-02,3.53952381,3.798571429,3.931571429,4.174857143,4.688190476,4.688190476,86.33190476,87.55857143,90.25619048,89.24,89.24,89.24,20.228,7.329545455,"$123,954,044.00","-$54,376,118",0
3.00325,2.99258,3.287435,3.63805,4.29228,4.29228,1422.49381,705.9057476,1.010091961,9.39E-03,1.07E-02,1.10E-02,0.013681885,0.018483663,2.43E-02,1.29E-02,1.30E-02,1.36E-02,1.67E-02,2.24E-02,2.61E-02,6.77E-04,1.62E-03,2.54E-03,6.99E-03,1.76E-02,3.20E-02,3.03E-03,3.22E-03,3.79E-03,8.20E-03,1.80E-02,2.84E-02,3.37335,3.474,3.8139,4.13975,4.7088,4.7088,87.9805,89.1665,91.0065,89.7295,89.7295,89.7295,18.4205,7.347619048,"$69,577,925.88","$82,417,673",1
2.8914,2.879004762,3.397542857,3.754157143,4.459847619,4.459847619,1478.281304,726.5655652,1.008053319,9.10E-03,1.09E-02,1.16E-02,0.015017559,2.01E-02,2.56E-02,1.29E-02,1.32E-02,1.42E-02,1.78E-02,0.023943547,2.77E-02,7.01E-04,1.55E-03,2.61E-03,8.02E-03,0.019425123,3.41E-02,2.97E-03,3.17E-03,3.99E-03,9.21E-03,1.98E-02,3.06E-02,3.320838095,3.359761905,3.950380952,4.312619048,4.884904762,4.884904762,94.69428571,95.53904762,94.85,91.50619048,91.50619048,91.50619048,16.16727273,6.002173913,"$151,995,598.60","-$54,371,871",0
2.914057895,2.880952632,3.465042105,3.840084211,4.553852632,4.553852632,1512.6855,731.46723,0.990505209,9.28E-03,1.04E-02,1.10E-02,1.50E-02,2.07E-02,0.026751628,1.28E-02,1.28E-02,1.37E-02,1.78E-02,2.44E-02,2.90E-02,9.46E-04,1.66E-03,2.60E-03,8.49E-03,2.03E-02,3.53E-02,2.86E-03,3.20E-03,4.11E-03,9.96E-03,2.11E-02,3.19E-02,3.318852632,3.365,4.019210526,4.393578947,4.967736842,4.967736842,95.78,96.13315789,95.45947368,91.52578947,91.52578947,91.52578947,17.823,3.8575,"$97,623,728.08","-$12,552,667",0
3.27859,3.25908,3.687935,3.908985,4.53126,4.53126,1551.703333,734.1468524,0.976540628,9.41E-03,1.01E-02,9.81E-03,1.34E-02,0.019619606,2.65E-02,1.28E-02,1.25E-02,1.29E-02,1.68E-02,2.37E-02,2.89E-02,8.41E-04,1.56E-03,2.52E-03,8.19E-03,2.01E-02,3.55E-02,2.75E-03,3.26E-03,4.03E-03,9.82E-03,0.021090359,3.22E-02,3.78887,3.8048,4.24445,4.47495,4.94955,4.94955,92.478,93.5455,91.518,88.4175,88.4175,88.4175,21.00181818,1.797619048,"$85,071,061.04","$91,928,692",1
